2026-08-24T20:36:16Z | engine alive | in-flight 4 | adjudications 215 | blockers 0 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 0/10 result(s) — no coverage declared, counting;
2026-08-24T20:56:16Z | engine alive | in-flight 2 | adjudications 681 | blockers 0 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 0/10 result(s) — no coverage declared, counting;
2026-08-24T21:16:16Z | engine alive | in-flight 0 | adjudications 681 | blockers 1 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 10/10 covered by 4 dispatch(es); gates not yet run; || BLOCKERS: - **8-adjudicate** — stage 8-adjudicate: gate judge-closure failed — ERROR judge-adjudication-shape: research/frontier-18-judge-adjudications.jsonl:219: requires {id, model, context_sha256, outcome, item_sha256}; confirmed_fatal also needs defect_type _(2026-08-24T21:07:52.294Z)_;
2026-08-24T21:36:16Z | engine alive | in-flight 0 | adjudications 681 | blockers 1 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 10/10 covered by 4 dispatch(es); gates not yet run; || BLOCKERS: - **8-adjudicate** — stage 8-adjudicate: gate judge-closure failed — ERROR judge-adjudication-shape: research/frontier-18-judge-adjudications.jsonl:219: requires {id, model, context_sha256, outcome, item_sha256}; confirmed_fatal also needs defect_type _(2026-08-24T21:07:52.294Z)_;
2026-08-24T21:56:16Z | engine alive | in-flight 0 | adjudications 681 | blockers 1 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 10/10 covered by 4 dispatch(es); gates not yet run; || BLOCKERS: - **8-adjudicate** — stage 8-adjudicate: gate judge-closure failed — ERROR judge-adjudication-shape: research/frontier-18-judge-adjudications.jsonl:219: requires {id, model, context_sha256, outcome, item_sha256}; confirmed_fatal also needs defect_type _(2026-08-24T21:07:52.294Z)_;
2026-08-24T22:16:16Z | engine alive | in-flight 0 | adjudications 681 | blockers 2 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 10/10 covered by 4 dispatch(es); gates not yet run; || BLOCKERS: - **8-adjudicate** — stage 8-adjudicate: gate judge-closure failed — ERROR judge-adjudication-shape: research/frontier-18-judge-adjudications.jsonl:219: requires {id, model, context_sha256, outcome, item_sha256}; confirmed_fatal also needs defect_type _(2026-08-24T21:07:52.294Z)_;- **8-adjudicate** — stage 8-adjudicate: gate finite-smoke failed — ERROR smoke-assertion-mismatch [thm-a-simple-graph-is-a-tree-exactly-when-every-two-vertices-are-joined-by-a-unique-path]: tree-characterisation's assertion excerpt is not present in thm-a-simple-graph-is-a-tree-exactly-when-every-two-verti _(2026-08-24T21:58:46.133Z)_;
2026-08-24T22:36:16Z | engine alive | in-flight 0 | adjudications 681 | blockers 2 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 10/10 covered by 4 dispatch(es); gates not yet run; || BLOCKERS: - **8-adjudicate** — stage 8-adjudicate: gate judge-closure failed — ERROR judge-adjudication-shape: research/frontier-18-judge-adjudications.jsonl:219: requires {id, model, context_sha256, outcome, item_sha256}; confirmed_fatal also needs defect_type _(2026-08-24T21:07:52.294Z)_;- **8-adjudicate** — stage 8-adjudicate: gate finite-smoke failed — ERROR smoke-assertion-mismatch [thm-a-simple-graph-is-a-tree-exactly-when-every-two-vertices-are-joined-by-a-unique-path]: tree-characterisation's assertion excerpt is not present in thm-a-simple-graph-is-a-tree-exactly-when-every-two-verti _(2026-08-24T21:58:46.133Z)_;
2026-08-24T22:56:17Z | engine alive | in-flight 0 | adjudications 681 | blockers 2 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 10/10 covered by 4 dispatch(es); gates not yet run; || BLOCKERS: - **8-adjudicate** — stage 8-adjudicate: gate judge-closure failed — ERROR judge-adjudication-shape: research/frontier-18-judge-adjudications.jsonl:219: requires {id, model, context_sha256, outcome, item_sha256}; confirmed_fatal also needs defect_type _(2026-08-24T21:07:52.294Z)_;- **8-adjudicate** — stage 8-adjudicate: gate finite-smoke failed — ERROR smoke-assertion-mismatch [thm-a-simple-graph-is-a-tree-exactly-when-every-two-vertices-are-joined-by-a-unique-path]: tree-characterisation's assertion excerpt is not present in thm-a-simple-graph-is-a-tree-exactly-when-every-two-verti _(2026-08-24T21:58:46.133Z)_;
2026-08-24T23:16:17Z | engine alive | in-flight 0 | adjudications 681 | blockers 2 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 10/10 covered by 4 dispatch(es); gates not yet run; || BLOCKERS: - **8-adjudicate** — stage 8-adjudicate: gate judge-closure failed — ERROR judge-adjudication-shape: research/frontier-18-judge-adjudications.jsonl:219: requires {id, model, context_sha256, outcome, item_sha256}; confirmed_fatal also needs defect_type _(2026-08-24T21:07:52.294Z)_;- **8-adjudicate** — stage 8-adjudicate: gate finite-smoke failed — ERROR smoke-assertion-mismatch [thm-a-simple-graph-is-a-tree-exactly-when-every-two-vertices-are-joined-by-a-unique-path]: tree-characterisation's assertion excerpt is not present in thm-a-simple-graph-is-a-tree-exactly-when-every-two-verti _(2026-08-24T21:58:46.133Z)_;
2026-08-24T23:36:17Z | engine alive | in-flight 0 | adjudications 681 | blockers 2 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 10/10 covered by 4 dispatch(es); gates not yet run; || BLOCKERS: - **8-adjudicate** — stage 8-adjudicate: gate judge-closure failed — ERROR judge-adjudication-shape: research/frontier-18-judge-adjudications.jsonl:219: requires {id, model, context_sha256, outcome, item_sha256}; confirmed_fatal also needs defect_type _(2026-08-24T21:07:52.294Z)_;- **8-adjudicate** — stage 8-adjudicate: gate finite-smoke failed — ERROR smoke-assertion-mismatch [thm-a-simple-graph-is-a-tree-exactly-when-every-two-vertices-are-joined-by-a-unique-path]: tree-characterisation's assertion excerpt is not present in thm-a-simple-graph-is-a-tree-exactly-when-every-two-verti _(2026-08-24T21:58:46.133Z)_;
2026-08-24T23:56:17Z | engine alive | in-flight 0 | adjudications 681 | blockers 2 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 10/10 covered by 4 dispatch(es); gates not yet run; || BLOCKERS: - **8-adjudicate** — stage 8-adjudicate: gate judge-closure failed — ERROR judge-adjudication-shape: research/frontier-18-judge-adjudications.jsonl:219: requires {id, model, context_sha256, outcome, item_sha256}; confirmed_fatal also needs defect_type _(2026-08-24T21:07:52.294Z)_;- **8-adjudicate** — stage 8-adjudicate: gate finite-smoke failed — ERROR smoke-assertion-mismatch [thm-a-simple-graph-is-a-tree-exactly-when-every-two-vertices-are-joined-by-a-unique-path]: tree-characterisation's assertion excerpt is not present in thm-a-simple-graph-is-a-tree-exactly-when-every-two-verti _(2026-08-24T21:58:46.133Z)_;
2026-08-25T00:16:17Z | engine alive | in-flight 0 | adjudications 681 | blockers 2 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 10/10 covered by 4 dispatch(es); gates not yet run; || BLOCKERS: - **8-adjudicate** — stage 8-adjudicate: gate judge-closure failed — ERROR judge-adjudication-shape: research/frontier-18-judge-adjudications.jsonl:219: requires {id, model, context_sha256, outcome, item_sha256}; confirmed_fatal also needs defect_type _(2026-08-24T21:07:52.294Z)_;- **8-adjudicate** — stage 8-adjudicate: gate finite-smoke failed — ERROR smoke-assertion-mismatch [thm-a-simple-graph-is-a-tree-exactly-when-every-two-vertices-are-joined-by-a-unique-path]: tree-characterisation's assertion excerpt is not present in thm-a-simple-graph-is-a-tree-exactly-when-every-two-verti _(2026-08-24T21:58:46.133Z)_;
2026-08-25T00:36:17Z | engine alive | in-flight 0 | adjudications 681 | blockers 2 | dispatch-failures 64 | pay402 80 | [>] 8-adjudicate 10/10 covered by 4 dispatch(es); gates not yet run; || BLOCKERS: - **8-adjudicate** — stage 8-adjudicate: gate judge-closure failed — ERROR judge-adjudication-shape: research/frontier-18-judge-adjudications.jsonl:219: requires {id, model, context_sha256, outcome, item_sha256}; confirmed_fatal also needs defect_type _(2026-08-24T21:07:52.294Z)_;- **8-adjudicate** — stage 8-adjudicate: gate finite-smoke failed — ERROR smoke-assertion-mismatch [thm-a-simple-graph-is-a-tree-exactly-when-every-two-vertices-are-joined-by-a-unique-path]: tree-characterisation's assertion excerpt is not present in thm-a-simple-graph-is-a-tree-exactly-when-every-two-verti _(2026-08-24T21:58:46.133Z)_;
