%%%primitive-roots-and-unit-groups-modulo-n (28 items)
| `def-primitive-root-modulo-n` | `def` | Primitive roots modulo $n$ |
| `prop-primitive-root-iff-unit-group-generator` | `prop` | A unit is a primitive root modulo $n$ if and only if it generates $(\mathbb Z/n\mathbb Z)^\times$ |
| `def-index-of-a-unit-relative-to-a-primitive-root` | `def` | The index $\operatorname{ind}_g(a)$ of a unit relative to a primitive root |
| `prop-index-calculus-modulo-n` | `prop` | Index calculus: products become sums and powers become scalar multiples modulo $\varphi(n)$ |
| `lem-order-of-a-power-in-a-finite-cyclic-group` | `lem` | In a cyclic group of order $m$, $g^a$ has order $m/\gcd(a,m)$ |
| `cor-generators-of-a-finite-cyclic-group` | `cor` | The generators of a cyclic group of order $m$ are the $g^a$ with $\gcd(a,m)=1$, so there are $\varphi(m)$ of them |
| `lem-direct-product-of-finite-cyclic-groups-is-cyclic-iff-orders-are-coprime` | `lem` | A direct product of two finite cyclic groups is cyclic if and only if their orders are coprime |
| `cor-unit-group-modulo-prime-is-cyclic` | `cor` | For every prime $p$, the multiplicative group $(\mathbb Z/p\mathbb Z)^\times$ is cyclic |
| `cor-primitive-roots-modulo-prime` | `cor` | Every prime modulus admits a primitive root |
| `cor-power-congruence-solution-count-modulo-a-prime` | `cor` | For prime $p$ and $d\ge1$, the congruence $x^d\equiv1\pmod p$ has $\gcd(d,p-1)$ nonzero solutions |
| `thm-eulers-criterion-for-binomial-congruences` | `thm` | Euler's criterion: if $n$ has a primitive root, $\gcd(a,n)=1$, and $m\ge1$, then $x^m\equiv a\pmod n$ is solvable if and only if $a^{\varphi(n)/\gcd(\varphi(n),m)}\equiv1\pmod n$ |
| `cor-number-of-solutions-of-a-binomial-congruence` | `cor` | If $n$ has a primitive root, $\gcd(a,n)=1$, $m\ge1$, and $x^m\equiv a\pmod n$ is solvable, then it has exactly $\gcd(\varphi(n),m)$ solution classes modulo $n$ |
| `lem-primitive-root-lift-to-prime-square` | `lem` | For an odd prime $p$ and a primitive root $g$ modulo $p$, at least one of $g$ and $g+p$ is primitive modulo $p^2$ |
| `lem-prime-power-binomial-congruence` | `lem` | For odd prime $p$ and $s\ge1$, $(1+p^su)^p\equiv1+p^{s+1}u\pmod {p^{s+2}}$ |
| `lem-order-of-one-plus-pu-modulo-prime-powers` | `lem` | For odd prime $p$, $p\nmid u$, and $k\ge1$, the class of $1+pu$ has order $p^{k-1}$ modulo $p^k$ |
| `thm-unit-group-modulo-odd-prime-power-is-cyclic` | `thm` | For every odd prime $p$ and $k\ge1$, $(\mathbb Z/p^k\mathbb Z)^\times$ is cyclic of order $p^{k-1}(p-1)$ |
| `cor-number-of-primitive-roots-modulo-odd-prime-power` | `cor` | An odd prime power $p^k$ has exactly $\varphi(\varphi(p^k))$ primitive roots |
| `lem-order-of-five-modulo-two-powers` | `lem` | For $k\ge3$, the class of $5$ has order $2^{k-2}$ modulo $2^k$ |
| `thm-unit-group-modulo-two-power-structure` | `thm` | For $k\ge3$, $(\mathbb Z/2^k\mathbb Z)^\times\cong C_2\times C_{2^{k-2}}$, generated uniquely as $(-1)^\varepsilon5^j$ |
| `thm-unit-group-chinese-remainder-decomposition` | `thm` | For pairwise coprime positive moduli, the Chinese remainder bijection restricts to an isomorphism of unit groups |
| `thm-structure-of-the-unit-group-modulo-n` | `thm` | The unit group modulo $n$ is the product of its odd-prime cyclic factors and its explicit $2$-power factor |
| `def-carmichael-function` | `def` | Carmichael's function $\lambda(n)$ as the exponent of $(\mathbb Z/n\mathbb Z)^\times$ |
| `prop-carmichael-function-as-maximal-order` | `prop` | Carmichael's $\lambda(n)$ is the maximum order of a unit modulo $n$ |
| `thm-carmichael-function-formula` | `thm` | Carmichael's function on prime powers and its least-common-multiple formula |
| `cor-carmichael-exponent-theorem` | `cor` | If $\gcd(a,n)=1$, then $a^{\lambda(n)}\equiv1\pmod n$ |
| `lem-primitive-roots-pass-between-odd-n-and-twice-n` | `lem` | For odd $n$, primitive-root existence is equivalent for $n$ and $2n$ |
| `thm-classification-of-moduli-with-primitive-roots` | `thm` | A positive integer admits a primitive root exactly when it is $1$, $2$, $4$, $p^k$, or $2p^k$ for an odd prime $p$ |
| `cor-number-of-primitive-roots-modulo-n` | `cor` | A modulus with primitive roots has exactly $\varphi(\varphi(n))$ primitive roots |
%%%primitive-roots-and-unit-groups-modulo-n-examples (11 items)
| `ex-primitive-roots-modulo-seventeen` | `ex` | The primitive roots modulo $17$ are $3,5,6,7,10,11,12,14$ |
| `ex-index-table-modulo-seventeen` | `ex` | An index table modulo $17$ turns multiplication into addition modulo $16$ |
| `ex-primitive-root-modulo-thirteen-by-prime-divisor-tests` | `ex` | $2$ is a primitive root modulo $13$ by testing the prime divisors of $12$ |
| `ex-lifting-a-primitive-root-through-powers-of-five` | `ex` | $2$ is primitive modulo every power of $5$ |
| `ex-unit-group-modulo-two-hundred-forty` | `ex` | The unit group modulo $240$ decomposes as $C_2^2\times C_4^2$ |
| `ex-carmichael-function-of-five-hundred-sixty-one` | `ex` | $\lambda(561)=80$ and every integer coprime to $561$ has eightieth power congruent to one |
| `ex-carmichael-function-of-one-thousand-seven-hundred-twenty-nine` | `ex` | $\lambda(1729)=36$ although $\varphi(1729)=1296$ |
| `cex-unit-group-modulo-fifteen-is-not-cyclic` | `cex` | $(\mathbb Z/15\mathbb Z)^\times$ has order $8$ but is not cyclic |
| `cex-euler-totient-need-not-be-the-unit-group-exponent` | `cex` | $\varphi(8)=4$ but every unit modulo $8$ has square one |
| `ex-square-roots-of-one-modulo-one-hundred-twenty-eight` | `ex` | The four square roots of one modulo $128$ are $1,63,65,127$ |
| `ex-moduli-below-twenty-with-primitive-roots` | `ex` | The positive moduli below $20$ admitting primitive roots are $1,2,3,4,5,6,7,9,10,11,13,14,17,18,19$ |
