PAGES: 38
CHARS: 83368
SANITY 'regular': 264  'Szemer': 29
2.1.1 ['Definition']
2.1.2 ['Definition']
2.1.3 ['Remark']
2.1.4 ['Exercise']
2.1.5 ['Exercise']
2.1.6 ['Exercise']
2.1.7 ['Definition']
2.1.8 ['Remark']
2.1.9 ['Theorem']
2.1.10 ['Definition']
2.1.11 ['Lemma']
2.1.12 ['Lemma']
2.1.13 ['Lemma']
2.1.14 ['Lemma']
2.1.15 ['Remark']
2.1.16 ['Remark']
2.1.17 ['Theorem']
2.1.18 ['Remark']
2.1.19 ['Theorem']
2.1.20 ['Theorem']
2.1.21 ['Remark']
2.1.22 ['Exercise']
2.1.23 ['Exercise']
2.1.24 ['Exercise']
2.1.26 ['Theorem']
2.1.27 ['Exercise']
2.1.28 ['Exercise']
2.2.1 ['Theorem']
2.2.2 ['Remark']
2.2.3 ['Lemma']
2.2.4 ['Remark']
2.3.1 ['Theorem']
2.3.2 ['Remark']
2.3.3 ['Corollary']
2.3.4 ['Remark']
2.3.5 ['Theorem']
2.3.6 ['Exercise']
2.3.7 ['Conjecture']
2.4.1 ['Theorem']
2.4.2 ['Theorem']
2.4.3 ['Remark']
2.4.4 ['Proposition']
2.4.5 ['Remark']
2.4.6 ['Exercise']
2.5.1 ['Theorem']
2.5.2 ['Corollary']
2.5.3 ['Remark']
2.5.4 ['Exercise']
2.5.5 ['Exercise']
2.6.1 ['Proposition']
2.6.2 ['Theorem']
2.6.3 ['Remark']
2.6.4 ['Theorem']
2.6.5 ['Theorem']
2.6.6 ['Exercise']
2.6.7 ['Theorem']
2.7.1 ['Exercise']
2.7.2 ['Exercise']
2.7.3 ['Exercise']
2.7.4 ['Exercise']
2.7.5 ['Exercise']
2.7.6 ['Exercise']
2.8.1 ['Theorem']
2.8.2 ['Remark']
2.8.3 ['Theorem']
2.8.4 ['Remark']
2.8.5 ['Remark']
2.8.6 ['Remark']
2.8.7 ['Lemma']
2.8.8 ['Exercise']
2.8.9 ['Theorem']
2.8.10 ['Remark']
2.8.11 ['Theorem']
2.8.12 ['Remark']
2.8.13 ['Theorem']
2.9.1 ['Theorem']
2.9.2 ['Remark']
2.9.3 ['Theorem']
2.10.1 ['Theorem']
2.10.2 ['Corollary']
2.10.3 ['Exercise']
2.10.4 ['Exercise']
2.10.5 ['Exercise']
2.11.1 ['Definition']
2.11.2 ['Proposition']
2.11.3 ['Exercise']
2.11.4 ['Remark']
